Authors,Year,Title,Source_Title,Key_Variable,Role_in_Model,Operationalization_Key_Variable,Secondary_Variable,Operationalization_Secondary_Variable,Study_Type,Country,Focal_Group,Tradition,Meta_Narrative
"Brewer, GA; Walker, RM",2010,Explaining Variation in Perceptions of Red Tape: A Professionalism-Marketization Model,Public Administration,Red tape,DV,Survey,Professionalization and marketization,Survey,Quantitative,United Kingdom,Government - Managers or administrative workers,Red Tape,Rule Quality
"Brewer, GA; Walker, RM",2010,The Impact of Red Tape on Governmental Performance: An Empirical Analysis,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Government performance,Survey and administrative data,Quantitative,United Kingdom,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Brewer, GA; Walker, RM",2010,Red Tape: the Bane of Public Organizations,Public Management and Performance: Research Directions,Red tape,IV,Case study/Examples,NA,NA,Theoretical,None,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Brodkin, EZ; Majmundar, M",2010,Administrative Exclusion: Organizations and the Hidden Costs of Welfare Claiming,Journal of Public Administration Research and Theory,Administrative burden,DV,Survey,Case load reductions,Administrative data,Quantitative,USA,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Feeney, MK; Rainey, HG",2010,Personnel Flexibility and Red Tape in Public And Nonprofit Organizations: Distinctions Due To Institutional And Political Accountability,Journal of Public Administration Research and Theory,Red tape,DV,Survey,Sector,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Moynihan, D; Herd, P",2010,Red Tape and Democracy: How Rules Affect Citizenship Rights,American Review of Public Administration,Administrative burden,IV,Case study/Examples,Access to public programs or institutions,NA,Theoretical,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Wright, BE; Pandey, SK",2010,Transformational Leadership in the Public Sector: Does Structure Matter?,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Transformational leadership,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Bozeman, B; Feeney, MK",2011,Rules and Red Tape: A Prism For Public Administration Theory And Research,Book,Red tape,MedV,Case study/Examples,NA,NA,Theoretical,None,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Feeney, MK; Boardmany, C",2011,Organizational Confidence: An Empirical Assessment of Highly Positive Public Managers,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Organizational confidence,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Moulton, S; Feeney, MK",2011,Public Service in the Private Sector: Private Loan Originator Participation In A Public Mortgage Program,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Probability of originating a pubicly subsudized loan,Survey,Quantitative,USA,Private/Non-Profit/Other,Red Tape,Behavioral Impact
"Ponomariov, BL; Boardman, PC",2011,Organizational Pathology Compared To What? Impacts of Job Characteristics and Career Trajectory on Perceptions Of Organizational Red Tape,Public Administration Review,Red tape,DV,Survey,Prior career trajectory and occupational context,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Stazyk, EC; Pandey, SK; Wright, BE",2011,Understanding Affective Organizational Commitment: the Importance of Institutional Context,American Review of Public Administration,Red tape,MedV,Survey,Political control and organizational commitment,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Yang, KF; Pandey, SK",2011,Further Dissecting the Black Box of Citizen Participation: When Does Citizen Involvement Lead To Good Outcomes?,Public Administration Review,Red tape,IV,Survey,Public participation outcomes,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Bozeman, B",2012,Multidimensional Red Tape: A Theory Coda,International Public Management Journal,Red tape,DV,Case study/Examples,NA,NA,Theoretical,None,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Brewer, GA; Walker, RM; Bozeman, B; Avellaneda, CN; Brewer, GA",2012,External Control and Red Tape: the Mediating Effects of Client And Organizational Feedback,International Public Management Journal,Red tape,DV,Survey,External control and client feedback,Survey and administrative data,Quantitative,United Kingdom,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Burden, BC; Canon, DT; Mayer, KR; Moynihan, DP",2012,The Effect of Administrative Burden on Bureaucratic Perception Of Policies: Evidence From Election Administration,Public Administration Review,Administrative burden,IV,Survey,Perceived policy quality and other outcomes,Survey,Mixed Methods,USA,Government - Managers or administrative workers,Administrative Burden,Access Burden
"Chen, CA",2012,Explaining the Difference of Work Attitudes Between Public and Nonprofit Managers: The Views Of Rule Constraints And Motivation Styles,American Review of Public Administration,Red tape,DV,Survey,Sector,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Chen, CA",2012,"Sector Imprinting: Exploring Its Impacts on Managers' Perceived Formalized Personnel Rules, Perceived Red Tape, and Current Job Tenure",American Review of Public Administration,Red tape,DV,Survey,Sector switching,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Feeney, MK",2012,Organizational Red Tape: A Measurement Experiment,Journal of Public Administration Research and Theory,Red tape,DV,Survey,Red tape operationalization,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Giauque, D; Ritz, A; Varone, F; Anderfuhren-Biget, S",2012,Resigned But Satisfied: the Negative Impact of Public Service Motivation and Red Tape on Work Satisfaction,Public Administration,Red tape,IV,Survey,Stress,Survey,Quantitative,Switzerland,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Kaufmann, W; Feeney, MK",2012,"Objective Formalization, Perceived Formalization and Perceived Red Tape Sorting Out Concepts",Public Management Review,Red tape,DV,Survey,Formalization,Survey and administrative data,Quantitative,Netherlands,Government - Managers or administrative workers,Red Tape,Rule Quality
"Moynihan, DP",2012,A Theory of Culture-Switching: Leadership and Red-Tape During Hurricane Katrina,Public Administration,Red tape,DV,Case study/Examples,Culture,NA,Case Study,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Moynihan, DP; Wright, BE; Pandey, SK",2012,Working Within Constraints: Can Transformational Leaders Alter the Experience of Red Tape?,International Public Management Journal,Red tape,DV,Survey,Transformational leadership,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Park, SM; Rainey, HG",2012,Work Motivation and Social Communication Among Public Managers,International Journal of Human Resource Management,Red tape,DV,Survey,Intrinsic motivation,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Ponomariov, BL; Boardman, PC",2012,Organizational Risk Aversion: Comparing the Public and Non-Profit Sectors,Public Management Review,Red tape,MedV,Survey,Sector,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Torenvlied, R; Akkerman, A",2012,Effects of Managers' Work Motivation and Networking Activity on Their Reported Levels Of External Red Tape,Journal of Public Administration Research and Theory,Red tape,DV,Survey,"Networking, work engagement, and commitment",Survey,Quantitative,Netherlands,Government - Managers or administrative workers,Red Tape,Rule Quality
"Davis, RS",2013,Unionization and Work Attitudes: How Union Commitment Influences Public Sector Job Satisfaction,Public Administration Review,Red tape,MedV,Survey,Union membership and job satisfaction,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Davis, RS",2013,Union Commitment and Stakeholder Red Tape: How Union Values Shape Perceptions of Organizational Rules,Review of Public Personnel Administration,Red tape,DV,Survey,Union socialization and commitment to union values,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"DeHart-Davis, L; Chen, J; Little, TD",2013,Written Versus Unwritten Rules: the Role of Rule Formalization in Green Tape,International Public Management Journal,Green tape,DV,Survey,Written status of rules,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Herd, P; DeLeire, T; Harvey, H; Moynihan, DP",2013,Shifting Administrative Burden To the State: The Case of Medicaid Take-Up,Public Administration Review,Administrative burden,IV,Administrative data,Program enrollment,Administrative data,Mixed Methods,USA,Government - Managers or administrative workers,Administrative Burden,Access Burden
"Lavertu, S; Lewis, DE; Moynihan, DP",2013,"Government Reform, Political Ideology, and Administrative Burden: the Case of Performance Management in The Bush Administration",Public Administration Review,Administrative burden,DV,Survey,Liberal political status of organization,Researcher coding,Quantitative,USA,Government - Managers or administrative workers,Administrative Burden,Burden Genesis
"Sheely, A",2013,Second-Order Devolution and Administrative Exclusion in the Temporary Assistance For Needy Families Program,Policy Studies Journal,Administrative exclusion,DV,Administrative data,Level of economic distress,Administrative data,Quantitative,USA,Government - Managers or administrative workers,Administrative Burden,Burden Genesis
"Chen, CA",2014,"Revisiting Organizational Age, Inertia, and Adaptability Developing And Testing A Multi-Stage Model in the Nonprofit Sector",Journal of Organizational Change Management,Red tape,DV,Survey,Organizational adaptability,Survey,Quantitative,USA,Private/Non-Profit/Other,Red Tape,Administrative Performance
"Chen, CA; Rainey, HG",2014,Personnel Formalization and the Enhancement of Teamwork A Public-Private Comparison,Public Management Review,Red tape - personnel formalization,MedV,Survey,Sector and teamwork,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Davis, RS; Stazyk, EC",2014,Making Ends Meet: How Reinvention Reforms Complement Public Service Motivation,Public Administration,Red tape,MedV,Survey,Reinvention reforms and PSM,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Jung, CS; Kim, SE",2014,Structure and Perceived Performance in Public Organizations,Public Management Review,Red tape,IV,Survey,Organizational performance,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Kaufmann, W; Feeney, MK",2014,Beyond the Rules: The Effect of Outcome Favourability on Red Tape Perceptions,Public Administration,Red tape,DV,Survey,Outcome favorability and rule burden,Experiment - vignette,Quantitative,USA,Citizens - Generic,Red Tape,Rule Quality
"Travers, M",2014,"A Price Worth Paying? Accountability, Red Tape and the Regulation of Affordable Housing",Australian Journal of Social Issues,Red tape,DV,Interviews,"Factors affecting perceived red tape (accountabiliy, meaningful measures, and compliance materials)",Interviews,Qualitative,Australia,Private/Non-Profit/Other,Red Tape,Rule Quality
"Bronkhorst, B; Steijn, B; Vermeeren, B",2015,"Transformational Leadership, Goal Setting, and Work Motivation: the Case of A Dutch Municipality",Review of Public Personnel Administration,Red tape - procedural constraints,MedV,Survey,Transformational leadership and goal setting,Survey,Quantitative,Netherlands,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"DeHart-Davis, L; Davis, RS; Mohr, Z",2015,Green Tape and Job Satisfaction: Can Organizational Rules Make Employees Happy?,Journal of Public Administration Research and Theory,Green tape,IV,Survey,Job satisfaction,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Heinrich, CJ; Brill, R",2015,Stopped in the Name of The Law: Administrative Burden and Its Implications For Cash Transfer Program Effectiveness,World Development,Administrative burden,IV,Administrative data,Program participation interruptions,Administrative data,Quantitative,South Africa,Citizens - Less advantaged,Administrative Burden,Access Burden
"Moynihan, D; Herd, P; Harvey, H",2015,"Administrative Burden: Learning, Psychological, and Compliance Costs in Citizen-State Interactions",Journal of Public Administration Research and Theory,Administrative burden,DV,Case study/Examples,Political preferences of governors,Researcher coding,Case Study,USA,Political actors,Administrative Burden,Burden Genesis
"Pandey, SK; Marlowe, J",2015,Assessing Survey-Based Measurement of Personnel Red Tape With Anchoring Vignettes,Review of Public Personnel Administration,Red tape,DV,Survey,Anchoring vignettes,Experiment - vignette,Quantitative,USA,Private/Non-Profit/Other,Red Tape,Rule Quality
"Quratulain, S; Khan, AK",2015,"Red Tape, Resigned Satisfaction, Public Service Motivation, and Negative Employee Attitudes And Behaviors: Testing A Model of Moderated Mediation",Review of Public Personnel Administration,Red tape,IV,Survey,Resigned satisfaction and PSM,Survey,Quantitative,Pakistan,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Borry, EL",2016,A New Measure of Red Tape: Introducing the Three-Item Red Tape (Tirt) Scale,International Public Management Journal,Red tape,DV,Survey,Red tape (prior operationalization),Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Bozeman, B; Anderson, DM",2016,Public Policy and the Origins of Bureaucratic Red Tape: Implications Of The Stanford Yacht Scandal,Administration & Society,Red tape,DV,Case study/Examples,Behavior and perception of rule makers,NA,Case Study,USA,Private/Non-Profit/Other,Red Tape,Administrative Performance
"Campbell, JW; Im, T",2016,Perceived Public Participation Efficacy: the Differential Influence of Public Service Motivation Across Organizational Strata,Public Personnel Management,Red tape,IV,Survey,Public participation efficacy,Survey,Quantitative,South Korea,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Davis, RS; Pink-Harper, SA",2016,Connecting Knowledge of Rule-Breaking and Perceived Red Tape: How Behavioral Attribution Influences Red Tape Perceptions,Public Performance & Management Review,Red tape,DV,Survey,Various social perceptions about rule following,Experiment - vignette,Quantitative,USA,Private/Non-Profit/Other,Red Tape,Rule Quality
"Heinrich, CJ",2016,The Bite of Administrative Burden: A Theoretical and Empirical Investigation,Journal of Public Administration Research and Theory,Administrative burden,IV,Administrative data,Percentage of grant interruptions or disconnections due to AB,Administrative data,Quantitative,South Africa,Citizens - Less advantaged,Administrative Burden,Access Burden
"Moynihan, DP; Herd, P; Ribgy, E",2016,Policymaking By Other Means: Do States Use Administrative Barriers To Limit Access To Medicaid?,Administration & Society,Administrative burden,DV,Administrative data,Political affiliation of controllers of political institutions,Administrative data,Quantitative,USA,Political actors,Administrative Burden,Burden Genesis
"Op de Beeck, S; Wynen, J; Hondeghem, A",2016,Hrm Implementation By Line Managers: Explaining the Discrepancy in Hr-Line Perceptions of Hr Devolution,International Journal of Human Resource Management,Red tape,IV,Survey,Discrepency between different parties evaluations of HR devolution,Survey,Quantitative,Belgium,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Tummers, L; Weske, U; Bouwman, R; Grimmelikhuijsen, S",2016,The Impact of Red Tape on Citizen Satisfaction: An Experimental Study,International Public Management Journal,Red tape,IV,Experiment,Citizen satisfaction,Survey,Quantitative,Netherlands,Citizens - Generic,Red Tape,Behavioral Impact
"van der Voet, J",2016,Change Leadership and Public Sector Organizational Change: Examining the Interactions of Transformational Leadership Style And Red Tape,American Review of Public Administration,Red tape,IV,Survey,Change leadership and Quality of change communication and Degree of participation (in change),Survey,Quantitative,Netherlands,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"van Loon, NM; Leisink, PLM; Knies, E; Brewer, GA",2016,Red Tape: Developing and Validating A New Job-Centered Measure,Public Administration Review,Red tape,DV,Survey,Red tape (prior operationalization),NA,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Bozeman, B; & Jung, J",2017,Bureaucratization in Academic Research Policy: What Causes It?,Annals of Science and Technology Policy,Red Tape - burdensome rules,DV,Case study/Examples,"Crisis response, over control, and side-payments",Examples,Case Study,USA,Private/Non-Profit/Other,Red Tape,Rule Quality
"Brunetto, Y; Teo, STT; Farr-Wharton, R; Shacklock, K; Shriberg, A",2017,"Individual and Organizational Support Does It Affect Red Tape, Stress And Work Outcomes of Police Officers in the Usa?",Personnel Review,Red tape,MedV,Survey,Management support and Affective Commitment and Turnover intention,Survey,Quantitative,USA,Government - Street-level bureaucrats,Red Tape,Behavioral Impact
"Campbell, JW",2017,Red Tape and Transformational Leadership: An Organizational Echelons Perspective,Journal of Organizational Change Management,Red tape,DV,Survey,Transformational leadership and Hierarchical level,Survey,Quantitative,South Korea,Government - Managers or administrative workers,Red Tape,Rule Quality
"Davis, RS; Stazyk, EC",2017,Putting the Methodological Cart Before The Theoretical Horse? Examining The Application of Sem To Connect Theory and Method in Public Administration Research,Review of Public Personnel Administration,Red tape,DV,Case study/Examples,NA,NA,Review,USA,Private/Non-Profit/Other,Red Tape,Rule Quality
"Grimmelikhuijsen, S; Jilke, S; Olsen, AL; Tummers, L",2017,Behavioral Public Administration: Combining Insights From Public Administration and Psychology,Public Administration Review,Red tape,IV,Case study/Examples,NA,NA,Theoretical,NA,Government - Street-level bureaucrats,Red Tape,Behavioral Impact
"Henly, JR; Kim, J; Sandstrom, H; Pilarz, AR; Claessens, A",2017,What Explains Short Spells on Child-Care Subsidies?,Social Service Review,Administrative burden,IV,Survey,Program exit risk,Administrative data,Quantitative,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Kaufmann, W; Tummers, L",2017,The Negative Effect of Red Tape on Procedural Satisfaction,Public Management Review,Red tape,IV,Experiment,Procedural satisfaction,Survey,Quantitative,USA,Citizens - Generic,Red Tape,Behavioral Impact
"Kovac, P; Jukic, T",2017,Recent Regional Developments in Red Tape Reduction A Content Analysis of Web Of Science Journals,Lex Localis-Journal of Local Self-Government,Red tape,DV,Text,NA,NA,Review,Multi,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Pandey, SK; Pandey, S; Van Ryzin, GG",2017,Prospects For Experimental Approaches To Research on Bureaucratic Red Tape,Experiments in Public Management Research: Challenges and Contributions,Red tape,DV,Survey,Job satisfaction and vignette-embedded red tape,Experiment - vignette,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"van den Bekerom, P; Torenvlied, R; Akkerman, A",2017,Constrained By Red Tape: How Managerial Networking Moderates the Effects of Red Tape on Public Service Performance,American Review of Public Administration,Red tape,IV,Survey,Performance,Administrative data,Quantitative,Netherlands,Government - Managers or administrative workers,Red Tape,Administrative Performance
"van Loon, NM",2017,From Red Tape To Which Performance Results? Exploring the Relationship Between Red Tape and Various Dimensions of Performance in Healthcare Work Units,Public Administration,Red tape,IV,Survey,Performance,Survey,Quantitative,Netherlands,Government - Street-level bureaucrats,Red Tape,Administrative Performance
"Barnes, CY; Henly, JR",2018,They Are Underpaid and Understaffed: How Clients Interpret Encounters With Street-Level Bureaucrats,Journal of Public Administration Research and Theory,Administrative burden,IV,Interviews,What/who to blame for AB,Interviews,Qualitative,USA,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Borry, EL; DeHart-Davis, L; Kaufmann, W; Merritt, CC; Mohr, Z; Tummers, L",2018,Formalization and Consistency Heighten Organizational Rule Following: Experimental And Survey Evidence,Public Administration,Green tape,IV,Experiment,Rule following,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Borst, RT",2018,"Comparing Work Engagement in People-Changing and People-Processing Service Providers: A Mediation Model With Red Tape, Autonomy, Dimensions of Psm, And Performance",Public Personnel Management,Red tape,IV,Survey,Work engagement and job satisfaction,Survey,Quantitative,Denmark,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Hansen, JR; Kjeldsen, AM",2018,Comparing Affective Commitment in the Public and Private Sectors: A Comprehensive Test of Multiple Mediation Effects,International Public Management Journal,Red tape,MedV,Survey,Sector and commitment,Survey,Quantitative,Denmark,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Hattke, F; Vogel, R; Znanewitz, J",2018,"Satisfied With Red Tape? Leadership, Civic Duty, and Career Intention in the Military",Public Management Review,Red tape,IV,Survey,Controlling managerial behavior and Job satisfaction,Survey,Quantitative,Germany,Government - Street-level bureaucrats,Red Tape,Behavioral Impact
"Heinrich, CJ",2018,Presidential Address: A Thousand Petty Fortresses: Administrative Burden in Us Immigration Policies and Its Consequences,Journal of Policy Analysis and Management,Administrative burden,IV,Interviews,Work engagement and job satisfaction,Survey,Mixed Methods,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Jacobsen, CB; Jakobsen, ML",2018,Perceived Organizational Red Tape and Organizational Performance in Public Services,Public Administration Review,Red tape,IV,Survey,Performance,Administrative data,Quantitative,Denmark,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Jilke, S; Van Dooren, W; Rys, S",2018,Discrimination and Administrative Burden in Public Service Markets: Does A Public-Private Difference Exist?,Journal of Public Administration Research and Theory,Administrative burden,DV,Administrative data,Minority status,Experiment - field,Quantitative,Netherlands,Government - Managers or administrative workers,Administrative Burden,Burden Genesis
"Kaufmann, W",2018,Data Science and Public Administration Research: Connecting Agency Rules And Red Tape,Research Handbook in Data Science and Law. Edward Elgar Publishing.,Red tape,DV,Administrative data,"Rule stock size, burden, costs-benefits",Administrative data,Theoretical,None,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Kaufmann, W; Hooghiemstra, R; Feeney, MK",2018,"Formal Institutions, Informal Institutions, and Red Tape: A Comparative Study",Public Administration,Red tape - regulatory burden on citizens,DV,Survey,Various formal and informal country level factors,Mixed,Quantitative,Cross-national,Private/Non-Profit/Other,Red Tape,Administrative Performance
"Kaufmann, W; van Witteloostuijn, A",2018,"Do Rules Breed Rules? Vertical Rule-Making Cascades At the Supranational, National, and Organizational Level",International Public Management Journal,Red tape - rule stock,DV,Administrative data,External rules,NA,Mixed Methods,Netherlands,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Kjeldsen, AM; Hansen, JR",2018,Sector Differences in the Public Service Motivation-Job Satisfaction Relationship: Exploring The Role of Organizational Characteristics,Review of Public Personnel Administration,Red tape,IV,Survey,Job satisfaction,Survey,Quantitative,Denmark,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Knies, E; Leisink, P",2018,People Management in the Public Sector,Hrm in Mission Driven Organizations,Red tape,IV,Case study/Examples,Motivation,NA,Theoretical,None,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Liao, YG; Schachter, HL",2018,Exploring the Antecedents of Municipal Managers' Attitudes Towards Citizen Participation,Public Management Review,Red tape,IV,Survey,Cost of citizen participation,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Nisar, MA",2018,Children of A Lesser God: Administrative Burden and Social Equity in Citizen-State Interactions,Journal of Public Administration Research and Theory,Administrative burden,DV,Ethnography,"Role of third parties, administrative behavior, and social factors",Ethnography,Qualitative,Pakistan,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Peeters, R; Jimenez, HT; O'Connor, E; Rojas, PO; Galindo, MG; Tenorio, DM",2018,Low-Trust Bureaucracy: Understanding the Mexican Bureaucratic Experience,Public Administration and Development,Administrative burden,DV,Interviews,Political tactics vs benign neglect (authoritarian legacies),Interviews,Qualitative,Mexico,Citizens - Generic,Administrative Burden,Burden Genesis
"Peeters, R; Widlak, A",2018,The Digital Cage: Administrative Exclusion Through Information Architecture - the Case of The Dutch Civil Registry's Master Data Management System,Government Information Quarterly,Administrative exclusion,DV,Case study/Examples,Digitization of process (leading to a loss of discretion),Examples from case study,Case Study,Netherlands,Government - Street-level bureaucrats,Administrative Burden,Burden Genesis
